
http://localhost:4000/ , Method = GET , Date = Fri Jul 17 2020 04:35:52 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/favicon.ico , Method = GET , Date = Fri Jul 17 2020 04:35:52 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/ , Method = GET , Date = Fri Jul 17 2020 04:36:37 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/ , Method = GET , Date = Sat Jul 18 2020 10:54:07 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sat Jul 18 2020 10:54:14 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/users , Method = GET , Date = Sat Jul 18 2020 10:54:18 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sat Jul 18 2020 11:04:15 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sat Jul 18 2020 11:07:20 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sat Jul 18 2020 11:27:22 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sat Jul 18 2020 11:28:31 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/users , Method = GET , Date = Sat Jul 18 2020 11:35:14 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sat Jul 18 2020 11:40:15 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/new , Method = POST , Date = Sat Jul 18 2020 11:42:27 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/users , Method = GET , Date = Sat Jul 18 2020 13:59:50 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sat Jul 18 2020 13:59:54 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/bawarchi , Method = GET , Date = Sat Jul 18 2020 14:00:03 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/bawarchi , Method = GET , Date = Sat Jul 18 2020 14:00:32 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
